Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
Amianda,Tachia Dried Noodles - Fried Shallot,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Amianda,Thin Noodles - Sesame Oil,Pack,Taiwan,4.25,pepper free,mild,"(100, 2500)",Asia
Amianda,Hakka Flat Noodles - Satay Sauce,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Amianda,Tachia Dried Noodles - Rou Zhou Meat Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Amianda,Homely Dried Noodles - Original Flavor ,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Amianda,Dried Noodles - Spicy Sauerkraut,Pack,Taiwan,3.25,spicy,spicy,"(2500, 10000)",Asia
Amianda,Hakka Flat Noodles - Fried Bean Sauce,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Amianda,Tachia Dried Noodles - Peppery,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Deshome,Aloe Noodle Sesame Sauce,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Deshome,Black Eyed Beans Noodle Basil Sauce & Sesame Sauce,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Deshome,Aloe Noodle Vegetable Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Deshome,Black Eyed Beans Noodle Spicy Soybean Sauce & Sesame Sauce,Pack,Taiwan,3.75,spicy,spicy,"(2500, 10000)",Asia
Deshome,Aloe Noodle Red Onion & Sesame Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Deshome,Black Eyed Beans Noodle Vegetable Sauce & Sesame Sauce,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Deshome,Aloe Noodle With Basil Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Deshome,Pollen Noodles Sesame Sauce & Soy Sauce,Pack,Taiwan,4.25,pepper free,mild,"(100, 2500)",Asia
Deshome,Black Eyed Bean Noodle Red Onion Sauce & Sesame Sauce,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Deshome,Aloe Noodle With Spicy Soybean Sauce,Pack,Taiwan,4,spicy,spicy,"(2500, 10000)",Asia
A-Sha Dry Noodle,Dry Noodle Mandarin Noodle - Original Sauce,Pack,Taiwan,4,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Dry Noodle Hakka Noodle - Spicy Sesame Oil Sauce,Pack,Taiwan,3.5,spicy,spicy,"(2500, 10000)",Asia
A-Sha Dry Noodle,Dry Noodle Mandarin Noodle - Onion Oil Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Dry Noodle QQ Thin Noodle - BBQ Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,No. 10 Mandarin Noodle - Black Pepper Sauce,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Dry Noodle Tainan Noodle - Sesame Sauce,Pack,Taiwan,4,pepper free,pepper free,0,Asia
A-Sha Dry Noodle,Dry Noodle Hakka Noodle - Chili Sauce,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Wei Lih,Spicy Sichuan Flavor Instant Noodle,Bowl,Taiwan,3.5,spicy,spicy,"(2500, 10000)",Asia
Unif / Tung-I,Chinese Spices Tong Tsai Bean Vermicelli,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Souper,Bowl Ramen Shrimp,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
Uni-President,100 Beef With Sauerkraut,Pack,Taiwan,4.75,pepper free,pepper free,0,Asia
Long Kow,Kimchi Pickle Bean Vermicelli,Pack,Taiwan,1.5,pepper free,pepper free,0,Asia
Wei Lih,Good Good Eat Super Ramen Vegetable,Pack,Taiwan,2.75,pepper free,pepper free,0,Asia
Wu Mu,Pork Flavor Ramen,Pack,Taiwan,2.75,pepper free,pepper free,0,Asia
Unif,Man Han Feast Spring Onion Eel,Bowl,Taiwan,4.25,pepper free,pepper free,0,Asia
Lishan,Black Rooster Chicken,Pack,Taiwan,1.5,pepper free,pepper free,0,Asia
Wei Chuan,Miso Vegetables,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Artificial Mushroom Pork,Bowl,Taiwan,1.25,pepper free,pepper free,0,Asia
Wei Wei,"""A"" Series Vegetarian",Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Wei Wei,"""A"" Series Artificial Chicken",Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Wei Wei,"""A"" Series Artificial Hot Beef",Pack,Taiwan,3.75,hot,hot,"(10000, 50000)",Asia
Wei Lih,Goog Good Eat Super Ramen Hot Chili,Pack,Taiwan,3.75,hot,hot,"(10000, 50000)",Asia
Wei Chuan,Tomato Vegetables,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Sunlight,Steam Vermicelli,Pack,Taiwan,2.1,pepper free,pepper free,0,Asia
Vedan,Bah Kut Tea Noodle For Vegetarians,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
Ve Wong,Artificial Onion Flavor Bean Thread,Bowl,Taiwan,1.5,pepper free,pepper free,0,Asia
Uni-President,One More Cup Kimchi,Cup,Taiwan,3.75,pepper free,pepper free,0,Asia
Nan Hsing,Vegetarian Rice Noodles,Bowl,Taiwan,0.25,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Shrimp,Bowl,Taiwan,4,pepper free,pepper free,0,Asia
Hsin Tung Yang,Tiny Noodle With Oyster Flavor,Pack,Taiwan,0,pepper free,pepper free,0,Asia
Vedan,Mushroom & Artificial Cuttlefish,Pack,Taiwan,1.75,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Artificial Beef Rice Noodle,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Artificial Szechuan Pork,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
Wu Mu,Beef Flavor Ramen,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Ve Wong,Kung Fu Artificial Sesame Chicken,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
iNoodle,Taiwan Style Chow Mein,Pack,Taiwan,2.25,pepper free,mild,"(100, 2500)",Asia
Unif,Artificial Beef With Sauerkraut,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
Ve Wong,Instant Bean Thread Seafood,Bowl,Taiwan,2.5,pepper free,pepper free,0,Asia
Unif / Tung-I,Chinese Onion Rice Noodle,Pack,Taiwan,2.75,pepper free,pepper free,0,Asia
Q,Noodle With Sesame Sauce,Pack,Taiwan,3.25,pepper free,pepper free,0,Asia
iNoodle,Udon Noodle Soup Oriental,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Ve Wong,Artificial Classic Beef,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
Souper,Alimentary Paste Chow Mein,Pack,Taiwan,4.25,pepper free,mild,"(100, 2500)",Asia
Ve Wong,Hot Of Hots Artificial Black Peppered Beef,Bowl,Taiwan,1.25,hot,hot,"(10000, 50000)",Asia
Ve Wong,Hot Of Hots Artificial Satay Beef,Bowl,Taiwan,3.75,hot,hot,"(10000, 50000)",Asia
Sunny Maid,Mi Chay Vegetarian,Pack,Taiwan,1.75,pepper free,pepper free,0,Asia
Unif,Shrimp Fish,Bowl,Taiwan,3.75,pepper free,pepper free,0,Asia
Unif,Super Bowl Artificial Pickled Chilli Beef,Bowl,Taiwan,3.25,pepper free,pepper free,0,Asia
Unif,Super Bowl Artificial Stewed Pork Chop,Bowl,Taiwan,3.5,pepper free,pepper free,0,Asia
Unif,Super Bowl Artificial Spicy Beef,Bowl,Taiwan,2.75,spicy,spicy,"(2500, 10000)",Asia
Wu Mu,Steam Spinach Ramen With Onion,Pack,Taiwan,5,pepper free,pepper free,0,Asia
